network,station id,start_date,end_date, lat,lon,elev,element,state,county,Subwatershed,site_name,site_info_link,cdbs_id,shef_id,gmt_offset,
snotel,1267,2014-08-28,2100-01-01,  61.75,-150.89,    160,Air Temperature,AK,Matanuska-susitna,Headwaters Alexander Creek,Alexander Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1267,50M01S  ,     ,8.0,
snotel,1189,2011-08-04,2100-01-01,  64.79,-141.23,   1050,Air Temperature,AK,Southeast Fairbanks,American Creek,American Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1189,41P07S  ,AMCA2,9.0,
snotel,1062,2003-10-01,2100-01-01,  59.86,-151.32,   1653,Air Temperature,AK,Kenai Peninsula,Headwaters Anchor River,Anchor River Divide,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1062,51K05S  ,ARDA2,9.0,
snotel,1070,2004-10-01,2100-01-01,  61.11,-149.67,   2080,Air Temperature,AK,Anchorage,South Fork Campbell Creek,Anchorage Hillside,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1070,49M22S  ,HILA2,9.0,
scan,2065,2001-10-01,2100-01-01,  61.58,-159.58,     80,Air Temperature,AK,Bethel,Aniak Slough-Kuskokwim River,Aniak,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2065,SC2065  ,ANIA2,9.0,
snotel,957,1992-10-01,2100-01-01,  68.13,-149.48,   4800,Air Temperature,AK,North Slope,Chandalar Shelf,Atigun Pass,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=957,49T03S  ,ATGA2,9.0,
snotel,1182,2000-10-01,2100-01-01,  66.92,-151.53,    640,Air Temperature,AK,Yukon-koyukuk,Jack White Creek-Koyukuk River,Bettles Field,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1182,51R01S  ,BFLA2,9.0,
scan,1232,2014-08-15,2100-01-01,  59.42,-161.16,    550,Air Temperature,AK,Bethel,Canyon Creek,Canyon Lake,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1232,61K01S  ,CLAA2,9.0,
scan,2213,2014-09-11,2100-01-01,  65.40,-164.71,    326,Air Temperature,AK,Nome,Quartz Creek,Checkers Creek,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=2213,65Q01S  ,CECA2,9.0,
snotel,1093,2007-10-01,2100-01-01,  62.07,-142.05,   3320,Air Temperature,AK,Southeast Fairbanks,Red Hill Creek-Chisana River,Chisana,http://www.wcc.nrcs.usda.gov/nwcc/site?sitenum=1093,42N01S  ,CNAA2,9.0,
